rank,topic_id,label,document_count,horizon,signal_class,emergence_score,novelty,growth,coherence,impact,uncertainty,burst_weight,burst_slices,cagr,maturity,avg_proportion,strategic_fit,best_objective,critical_tech,asset_leverage,best_asset,opportunity_index,index_suppressed,composite_rank_score,first_slice,last_slice,fit_quadrant
1,2026-09-13T2114-T0027,automated decision-making / administrative / government / law,204,H1,strong,0.6642241379310345,0.183626595695485,0.154487613014043,0.7398094639601681,0.5725493058957994,0.8022833180100863,5.563531622906154,2023,0.06256784826975292,0.9090909090909091,0.006982928489225148,0.6665886486752601,SI-3 AI and Automated Decision Making in IP administration,,0.45502168397625087,AS-EXAMINATION Examination workforce and AI/ADM trials,0.7337588235294117,False,0.9168103448275862,2018,2026,act
2,2026-09-13T2114-T0070,intellectual property / property protection / firm / corporate,95,H2,weak,0.7008620689655172,0.1718663064977124,0.34322831216187055,0.7599243305093814,0.5753499130256012,0.8357538049784812,6.5614898150393515,2025;2026,0.4449213230933524,0.41666666666666646,0.0038838665345440814,0.6086952767779285,4.1 Innovation and adaptiveness in stewardship of the IP rights system,,0.3832944747874956,AS-PATANALYTICS Patent Analytics Hub and Office of the Chief Economist,0.8645999999999999,False,0.8672413793103448,2018,2026,act
3,2026-09-13T2114-T0116,copyright / artificial intelligence / generative artificial / generated object,277,H1,weak,0.6133620689655173,0.20349664770350817,0.22718499873402734,0.7277133752090276,0.5123387775900305,0.6157839977107659,2.388561955835037,2024;2025;2026,0.33352143216332397,0.9090909090909091,0.0024019270328992184,0.690575122012205,SI-3 AI and Automated Decision Making in IP administration,,0.42333997608234286,AS-PATANALYTICS Patent Analytics Hub and Office of the Chief Economist,0.6982588235294117,False,0.8663793103448276,2022,2026,act
4,2026-09-13T2114-T0053,patent retrieval / retrieval system / information retrieval / learning prior,38,H2,strong,0.7129310344827587,0.19859861109341437,0.0371143764088288,0.8767644862427928,0.7580659345971276,0.6485701754494408,0.0,,0.06593591105070629,0.6666666666666665,0.004286418621997716,0.5351135381252266,4.1 Innovation and adaptiveness in stewardship of the IP rights system,,0.43656921708220936,AS-PATANALYTICS Patent Analytics Hub and Office of the Chief Economist,0.5775882352941176,False,0.8603448275862069,2018,2026,act
5,2026-09-13T2114-T0059,enforcement intellectual / property right / intellectual property / right eu,66,H1,weak,0.8077586206896552,0.22520132636134615,0.15350172794969263,0.7799404185182536,0.601330500328831,0.9993375041688846,16.87894686525567,2019,-0.29008142810140225,1.0,0.003741439158228275,0.5472618421204397,4.1 Innovation and adaptiveness in stewardship of the IP rights system,,0.37671776877094454,AS-PATANALYTICS Patent Analytics Hub and Office of the Chief Economist,0.5200470588235293,False,0.8560344827586207,2018,2026,act
6,2026-09-13T2114-T0060,ip / law / intellectual property / chapter,42,H1,weak,0.6706896551724139,0.16593852144225663,0.09559584084472461,0.819594358573689,0.6586937249032621,0.8040280113153554,6.422353890655145,2019,-0.22889458729602963,1.0,0.0037794182587354832,0.5481940464845386,4.1 Innovation and adaptiveness in stewardship of the IP rights system,,0.4128662299614264,AS-RAPID IP RAPID / IP Rights Overview dashboard,0.49038823529411757,False,0.8431034482758621,2018,2026,act
7,2026-09-13T2114-T0069,dashboard / digital project / queensland / contribution published,38,H2,weak,0.7392241379310344,0.26500711779914754,0.4339601579569081,0.8131588911044927,0.5049644143748352,0.7772893907175422,13.010103841487648,2025;2026,0.5298193747370035,0.5,0.004013719610725994,0.5224004524728147,4.2 Innovative digital and data-driven customer and staff services,,0.4055762789037452,AS-RAPID IP RAPID / IP Rights Overview dashboard,0.5618823529411765,False,0.8323275862068966,2025,2026,act
8,2026-09-13T2114-T0010,intellectual property / right / property law / cambridge intellectual,189,H1,strong,0.6327586206896552,0.17032790412559373,0.08089642265534268,0.7752775568315227,0.5898623139386189,0.8244764905195987,4.946340638693883,2019,-0.07164250478718481,0.8333333333333331,0.00961950126855466,0.5566438834079733,4.1 Innovation and adaptiveness in stewardship of the IP rights system,,0.41627014830046194,AS-PATANALYTICS Patent Analytics Hub and Office of the Chief Economist,0.6602470588235294,False,0.828448275862069,2018,2026,act
9,2026-09-13T2114-T0004,patent / retrieval / classification / prior art,132,H2,strong,0.6349137931034483,0.1248854347543551,0.22771165869318435,0.8723772418292622,0.5470311047198183,0.8415362664833954,6.595447864579455,2025;2026,0.12939392944350003,0.5882352941176469,0.015597349361958323,0.5333704565814377,4.1 Innovation and adaptiveness in stewardship of the IP rights system,,0.44860848935083086,AS-PATANALYTICS Patent Analytics Hub and Office of the Chief Economist,0.6465529411764706,False,0.8211206896551725,2018,2026,act
10,2026-09-13T2114-T0020,artificial intelligence / patent / inventorship / intelligence technology,623,H2,strong,0.521551724137931,0.1606773267122229,0.1774435647264311,0.7108277214367794,0.5300807869990951,0.6705212645326011,4.372678366591813,2025;2026,0.1024332912369521,0.41666666666666646,0.008582924147151685,0.7175694642726458,SI-3 AI and Automated Decision Making in IP administration,,0.48281624735090484,AS-PATANALYTICS Patent Analytics Hub and Office of the Chief Economist,0.7454588235294117,False,0.8125,2018,2026,act
11,2026-09-13T2114-T0049,adm / automated decision-making / accountability / human,86,H1,strong,0.5150862068965518,0.12642748407208382,0.0769886742769586,0.7504343883381644,0.5692880771577195,0.9517819715233529,0.0,,0.1472026904398771,0.769230769230769,0.005249458237440678,0.7260973094432567,SI-3 AI and Automated Decision Making in IP administration,,0.462998920930658,AS-EXAMINATION Examination workforce and AI/ADM trials,0.7378470588235293,False,0.8043103448275862,2019,2026,act
12,2026-09-13T2114-T0110,criminal / ip / enforcement / intellectual property,27,H3,weak,0.7724137931034483,0.19015507254242348,0.19426955351235142,0.8007028871484445,0.638270574414147,0.876716288999464,2.9631728689617134,2026,0.20684519103403254,0.2,0.0023511485193672458,0.5466106705925553,4.1 Innovation and adaptiveness in stewardship of the IP rights system,,0.3533376764559662,AS-PATANALYTICS Patent Analytics Hub and Office of the Chief Economist,0.6186588235294117,False,0.7887931034482759,2019,2026,act
