rank,topic_id,label,document_count,horizon,signal_class,emergence_score,novelty,growth,coherence,impact,uncertainty,burst_weight,burst_slices,cagr,maturity,avg_proportion,strategic_fit,best_objective,critical_tech,asset_leverage,best_asset,opportunity_index,index_suppressed,composite_rank_score,first_slice,last_slice,fit_quadrant
1,T0013,service delivery / public service / digital / government,39,H2,strong,0.7020833333333333,0.7187726993440395,0.14298219949894306,0.37270985409845225,0.6945450667767644,0.30137648578593396,2.704196199636854,2024;2025;2026,0.10668191970032148,0.45454545454545436,0.015270981319273014,0.2634839055333786,4.2 Innovative digital and data-driven customer and staff services,,0.06842274133386952,AS-CONVENING Convening power and international IP standing,0.7162882352941176,False,0.8802083333333333,2019,2026,act
2,T0010,trust / public institution / driver / oecd,44,H2,strong,0.8020833333333334,0.8135671895688712,0.17444142140404073,0.449503886584546,0.6856262625446139,0.3606773351443825,2.460254535373025,2024;2025;2026,0.18920711500272103,0.4999999999999998,0.01822759655031874,0.17901982221048496,1.1 Trust and confidence in a high-quality IP rights system,,0.04534282378319305,AS-EXAMINATION Examination workforce and AI/ADM trials,0.675870588235294,False,0.8354166666666667,2018,2026,act
3,T0006,geographical / indication / trade / mark,50,H1,strong,0.5947916666666666,0.7842012675429972,0.0,0.4374096089346353,0.5892321421354264,0.9160457384555319,0.0,,-0.09639799639015523,1.0,0.020404957641689314,0.31798187974827663,SI-1 Geographical indications registration under the A-EU FTA,,0.07003575796511802,AS-EXAMINATION Examination workforce and AI/ADM trials,0.5435,False,0.8302083333333333,2018,2026,act
4,T0004,prior art / patent / art search / retrieval,61,H1,strong,0.7604166666666666,0.6864853349302618,0.18344418310692112,0.39470421143630835,0.6627730920839653,0.8629334497942717,4.079306783296303,2022;2023;2024;2025;2026,0.12686442506357687,0.8333333333333333,0.024646565645946163,0.0591223498484162,4.2 Innovative digital and data-driven customer and staff services,,0.12075769391849542,AS-EXAMINATION Examination workforce and AI/ADM trials,0.702835294117647,False,0.7322916666666667,2018,2026,capability looking for a problem
5,T0030,ipgod / ip right / property government / government open,21,H1,weak,0.5541666666666666,0.5835601861701079,0.09889400992379511,0.4266009871241766,0.5,0.47935594148856586,4.218320053374271,2022;2023,-1.0,1.0,0.007146839677631913,0.12108936489085127,4.1 Innovation and adaptiveness in stewardship of the IP rights system,,0.22960627058582173,AS-RAPID IP RAPID / IP Rights Overview dashboard,0.5551352941176471,False,0.7322916666666667,2022,2023,act
6,T0020,copyright / administrative decision-making / aripo,53,H2,strong,0.8177083333333333,0.9398494628870407,0.1895840617060425,0.45949659271138427,0.5644629558767257,0.9561550236844027,1.5024271768401114,2024;2025;2026,0.29683955465100964,0.3999999999999998,0.012598115822066512,0.05661818639762884,SI-5 First Nations Strategy,,0.09619353887395023,AS-RAPID IP RAPID / IP Rights Overview dashboard,0.7377470588235294,False,0.7239583333333334,2020,2026,capability looking for a problem
7,T0002,digital / govtech / public / government,71,H1,strong,0.44062499999999993,0.26430440260081356,0.23947905093369523,0.3361045570568946,0.39838894497179583,0.9728170471388043,5.396928405193165,2022;2023;2024;2025;2026,0.1982532518265705,0.769230769230769,0.03120301234979929,0.22775926650386402,4.2 Innovative digital and data-driven customer and staff services,,0.08227448655608299,AS-CONVENING Convening power and international IP standing,0.8621176470588234,False,0.71875,2018,2026,act
8,T0014,artificial intelligence / patent / inventorship / intelligence technology,54,H1,strong,0.5947916666666667,0.7503504915942333,0.04053683963964718,0.3235044619086851,0.6132681795469862,0.8729528081472254,0.0,,0.07245667366826658,0.8333333333333333,0.012150703891905484,0.15033559144847844,4.2 Innovative digital and data-driven customer and staff services,,0.05931514895570687,AS-PATANALYTICS Patent Analytics Hub and Office of the Chief Economist,0.693635294117647,False,0.7145833333333333,2018,2026,act
9,T0025,access medicine / medicine africa / law access / compulsory,26,H1,weak,0.6854166666666667,0.8390798871273297,0.0,0.3812414907729455,0.6278051122044881,0.9957274520849256,0.0,,-0.18223456604205746,1.0,0.006414414795269734,0.21381006770382444,2.1 Access to and benefits from IP rights ownership,,0.03690451198292277,AS-PATANALYTICS Patent Analytics Hub and Office of the Chief Economist,0.49202941176470594,False,0.6979166666666666,2018,2025,"on-strategy, no right-to-play"
10,T0033,automated decision-making / value position / social service / vs,20,H2,weak,0.7354166666666666,0.7673111051055201,0.04979757407719728,0.38117562674863475,0.6856711097459443,0.9293363555366274,0.0,,0.09050773266525769,0.6666666666666664,0.006034960596290093,0.09463763312067178,SI-3 AI and Automated Decision Making in IP administration,,0.04416598699859129,AS-EXAMINATION Examination workforce and AI/ADM trials,0.5857823529411763,False,0.6958333333333333,2019,2026,act
11,T0015,dashboard / digital project / queensland / contribution published,28,H2,strong,0.7479166666666667,0.8048374722741491,0.4277379914466348,0.7588833357602275,0.5,0.7934121062944623,13.673521628440866,2026,0.48773782616449024,0.5,0.01698444006136314,0.06821658953611788,"1.3 Reputation, influence and contribution to the IP ecosystem",,0.05758041563702203,AS-RAPID IP RAPID / IP Rights Overview dashboard,0.3376176470588236,False,0.6947916666666666,2025,2026,capability looking for a problem
12,T0023,valuation / asset / ip / property,21,H1,weak,0.6072916666666666,0.7667288510929815,0.0,0.5189883211858655,0.6377077051993997,0.608056022630711,0.0,,-0.24016431434840746,1.0,0.006688264026856487,0.09533624791617526,3.1 Capabilities for current and future needs of the IP system,,0.06682234973538591,AS-FIRSTNATIONS First Nations Strategy partnerships,0.39399411764705883,False,0.6822916666666667,2018,2025,act
13,T0034,learning / machine / quantum / adversarial,18,H1,weak,0.5135416666666667,0.5885341038491212,0.0,0.393562550201408,0.5552849920559861,0.9430193134337703,0.0,,-1.0,0.9090909090909091,0.0061049361886007575,0.1702960071946683,4.2 Innovative digital and data-driven customer and staff services,,0.05229852489121521,AS-PATANALYTICS Patent Analytics Hub and Office of the Chief Economist,0.3204529411764706,False,0.6739583333333333,2019,2023,act
14,T0003,energy / storage / hydrogen / renewable,76,H1,strong,0.50625,0.46372626801707706,0.0,0.35183030373760127,0.6297518407417508,0.9800390450977612,0.0,,-0.2928932188134524,1.0,0.021323214334681994,0.16446438797227217,1.2 Awareness of the IP system,CT-ENERGY Clean energy generation and storage,0.053748568546667624,AS-TRIPWIRE Tripwire — autonomous source-monitoring pipeline,0.5857764705882352,False,0.6541666666666667,2018,2025,act
15,T0046,trust / citizen / government / public,19,H1,weak,0.37604166666666666,0.5773345392056919,0.0,0.29899188261680587,0.450586310335424,0.9865319236184502,0.0,,-1.0,1.0,0.003023038934941949,0.16743048062701166,1.1 Trust and confidence in a high-quality IP rights system,,0.070626740704367,AS-CONVENING Convening power and international IP standing,0.46997647058823533,False,0.6510416666666666,2018,2023,act
16,T0009,indigenous / traditional cultural / cultural expression / intellectual property,44,H1,strong,0.37083333333333335,0.42140472915348093,0.0,0.38084479349387057,0.3718501509725956,0.9776778530646119,0.0,,-0.019084377637015315,1.0,0.017034673750536643,0.16037502128671505,SI-5 First Nations Strategy,,0.1359917336442211,AS-FIRSTNATIONS First Nations Strategy partnerships,0.5459529411764705,False,0.6343749999999999,2018,2026,act
17,T0024,opengov / ul / strong / li,19,H2,strong,0.7156250000000001,0.7928172809496197,0.3840444258933381,0.739994397731994,0.5,0.40410885982165584,10.523928690686361,2025;2026,0.4249712926473048,0.5,0.011176857330703484,0.05847189917683138,4.2 Innovative digital and data-driven customer and staff services,,0.052498911075855026,AS-PATANALYTICS Patent Analytics Hub and Office of the Chief Economist,0.33761176470588233,False,0.6166666666666667,2025,2025,capability looking for a problem
18,T0038,patent law / future patent / artificial intelligence / inventorship,29,H2,weak,0.6520833333333333,0.8037390620682376,0.04979757407719728,0.3177345603063138,0.5856689439991393,0.9575534837147484,0.0,,0.09050773266525769,0.41666666666666646,0.006157356175683345,0.06203905828636475,4.2 Innovative digital and data-driven customer and staff services,,0.06731517705413345,AS-PATANALYTICS Patent Analytics Hub and Office of the Chief Economist,0.7426294117647059,False,0.609375,2018,2026,capability looking for a problem
19,T0012,ai / public / governance / sector,90,H1,strong,0.37083333333333335,0.30101952333541016,0.18252133474629903,0.2197228926741059,0.46715601611974666,0.9390610294600894,1.8386919645356983,2021;2022;2023;2024;2025;2026,0.2510334048590739,1.0,0.0160472774221036,0.1653790037185593,SI-3 AI and Automated Decision Making in IP administration,,0.0681522117498298,AS-EXAMINATION Examination workforce and AI/ADM trials,0.877470588235294,False,0.6020833333333333,2019,2026,act
20,T0042,genetic resource / benefit sharing / abs / access benefit,16,H1,weak,0.503125,0.5988467726054797,0.0,0.3664339967226502,0.6268285265089361,0.8024052436705214,0.0,,-0.18223456604205746,0.8333333333333333,0.0036743349064377023,0.15518937033794833,2.1 Access to and benefits from IP rights ownership,,0.04387685541477794,AS-PATANALYTICS Patent Analytics Hub and Office of the Chief Economist,0.4497470588235294,False,0.584375,2018,2025,"on-strategy, no right-to-play"
21,T0041,llm / medical / clinical / language,19,H1,weak,0.6614583333333334,0.4466998451298597,0.11074753448848106,0.32704194082187465,0.6893100627215707,0.994155081463014,3.8287498878404804,2023;2024;2025;2026,-1.0,1.0,0.005840036306211185,0.07960558039672266,2.2 Customer experience excellence in IP rights services,,0.04098021093362645,AS-RAPID IP RAPID / IP Rights Overview dashboard,0.3161647058823529,False,0.5739583333333333,2022,2024,"on-strategy, no right-to-play"
22,T0048,image / deep / learning / retrieval,13,H1,weak,0.44270833333333337,0.47834911311361306,0.0,0.37490137082952046,0.5454601811015446,0.9565613146006522,0.0,,-1.0,1.0,0.0030721328693571488,0.07685901497591448,4.1 Innovation and adaptiveness in stewardship of the IP rights system,,0.06885338243281068,AS-TRIPWIRE Tripwire — autonomous source-monitoring pipeline,,True,0.5510416666666667,2019,2023,capability looking for a problem
23,T0001,ai / patent / invention / aesthetic,139,H2,strong,0.4385416666666667,0.1078678076319789,0.22947063681458976,0.2902240121429094,0.5806871229633545,0.8935357460060106,8.154838667014204,2023;2024;2025;2026,0.09050773266525769,0.35714285714285693,0.047373555789422934,0.08468028736821787,SI-3 AI and Automated Decision Making in IP administration,,0.05878321538497233,AS-PATANALYTICS Patent Analytics Hub and Office of the Chief Economist,0.7904588235294117,False,0.5270833333333333,2018,2026,act
