rank,topic_id,label,document_count,horizon,signal_class,emergence_score,novelty,growth,coherence,impact,uncertainty,burst_weight,burst_slices,cagr,maturity,avg_proportion,strategic_fit,best_objective,critical_tech,asset_leverage,best_asset,opportunity_index,index_suppressed,composite_rank_score,first_slice,last_slice,fit_quadrant
1,verify-bertopic-T0059,arc additive / wire arc / additive manufacturing / intelligence wire,22,H1,weak,0.8898230088495576,0.25542664360710354,0.34047680482985054,0.9720649064989736,0.6963720139632652,0.7197484934607565,10.479052678149529,2025,0.3249986953892472,0.909090909090909,0.0038806947130193828,0.7042469164620453,SI-3 AI and Automated Decision Making in IP administration,CT-AMM Advanced manufacturing and materials,0.4814284774787382,AS-PATANALYTICS Patent Analytics Hub and Office of the Chief Economist,0.4903647058823529,False,0.9539823008849557,2018,2025,act
2,verify-bertopic-T0012,automated decision-making / administrative / government / accountability,80,H1,strong,0.6694690265486726,0.16345890282017517,0.1828242478604727,0.8276245719037669,0.7206081639413038,0.7437150945075837,5.9174253357340945,2023,0.10886261813739972,0.909090909090909,0.013058988609688647,0.7805986494135618,SI-3 AI and Automated Decision Making in IP administration,CT-AI Artificial intelligence,0.46317522271118355,AS-EXAMINATION Examination workforce and AI/ADM trials,0.7248941176470589,False,0.9110619469026549,2018,2026,act
3,verify-bertopic-T0081,competition policy / intellectual property / property competition / policy intellectual,16,H2,weak,0.7305309734513276,0.1729732131951296,0.18486383213618604,0.9062783139496298,0.7230201066885515,0.0,5.959501372940082,2021,0.1472026904398771,0.6666666666666665,0.003143835815282364,0.6983486576101938,4.1 Innovation and adaptiveness in stewardship of the IP rights system,CT-ICT Advanced information and communication technologies,0.3983654959887097,AS-EXAMINATION Examination workforce and AI/ADM trials,0.5611764705882353,False,0.8690265486725663,2021,2026,act
4,verify-bertopic-T0109,genai / generative / chatgpt / ethical,12,H1,weak,0.6703539823008849,0.15161072274476894,0.1415708554554991,0.8764384202121032,0.6329148294920699,0.9444315580908713,2.9774602860091335,2023;2024;2025;2026,0.09050773266525769,0.909090909090909,0.0021082592835884335,0.7040226179223679,4.2 Innovative digital and data-driven customer and staff services,CT-AI Artificial intelligence,0.40585347193393834,AS-EXAMINATION Examination workforce and AI/ADM trials,,True,0.8557522123893806,2023,2026,act
5,verify-bertopic-T0101,decision-making / accountability / ai / automated,68,H2,weak,0.5853982300884955,0.2155502609757467,0.12954943398646532,0.7559009795382722,0.5585330099825723,0.24565963904517737,0.0,,0.2753731068584542,0.41666666666666646,0.0023908865771509846,0.8062770040440419,SI-3 AI and Automated Decision Making in IP administration,CT-AI Artificial intelligence,0.4643392885355405,AS-EXAMINATION Examination workforce and AI/ADM trials,0.7871117647058822,False,0.8522123893805309,2020,2026,act
6,verify-bertopic-T0094,patent portfolio / portfolio management,24,H3,weak,0.6681415929203539,0.17191264329150935,0.20352788550478354,0.8006096167646856,0.6190415127889483,0.99498482818597,4.627325613883421,2025;2026,0.1472026904398771,0.2222222222222222,0.0023470475677910864,0.685923748184887,4.1 Innovation and adaptiveness in stewardship of the IP rights system,CT-BIO Biotechnologies,0.4346616169704238,AS-PATANALYTICS Patent Analytics Hub and Office of the Chief Economist,0.8066235294117646,False,0.8508849557522123,2018,2025,act
7,verify-bertopic-T0034,intellectual property / property protection / corporate / digital,44,H3,strong,0.6646017699115044,0.14980644202643045,0.22742414558898552,0.8282322261655374,0.7172620719650447,0.833970890993573,4.923256857317952,2025;2026,0.18920711500272103,0.16666666666666666,0.0060944553725300575,0.7149560589333658,4.1 Innovation and adaptiveness in stewardship of the IP rights system,CT-ICT Advanced information and communication technologies,0.39171228961301785,AS-PATANALYTICS Patent Analytics Hub and Office of the Chief Economist,0.8190941176470588,False,0.8460176991150443,2018,2026,act
8,verify-bertopic-T0008,ai / decision-making / adm / automated,141,H2,strong,0.5398230088495575,0.10254216366548508,0.296492119372974,0.7686597476277703,0.6586781538387437,0.8151487451155703,9.175563675332043,2026,0.21234394466872786,0.3703703703703702,0.01700877848181597,0.9027382948294171,SI-3 AI and Automated Decision Making in IP administration,CT-AI Artificial intelligence,0.501456202957485,AS-EXAMINATION Examination workforce and AI/ADM trials,0.8511294117647059,False,0.8407079646017699,2018,2026,act
9,verify-bertopic-T0047,dashboard / digital project / queensland / contribution published,30,H2,strong,0.7676991150442478,0.26990286153017773,0.4282728140278258,0.8700039214991316,0.5065175762549583,0.6270352602183559,12.489793562327904,2025;2026,0.5233501853172446,0.5,0.005051718304087182,0.627652181102024,4.2 Innovative digital and data-driven customer and staff services,CT-ICT Advanced information and communication technologies,0.40419943731827035,AS-RAPID IP RAPID / IP Rights Overview dashboard,0.5265588235294117,False,0.8274336283185841,2025,2026,act
10,verify-bertopic-T0088,ipgod / ip australia / property government / government open,15,H1,weak,0.6517699115044249,0.22069909191979065,0.14397802168221888,0.8997393972453033,0.5,0.17667966751071065,3.9380853514774117,2022;2023,0.09050773266525769,1.0,0.002988613543081711,0.6284486880141286,4.1 Innovation and adaptiveness in stewardship of the IP rights system,CT-BIO Biotechnologies,0.49667465778617925,AS-RAPID IP RAPID / IP Rights Overview dashboard,0.39510588235294114,False,0.8247787610619468,2022,2026,act
11,verify-bertopic-T0032,ai / patent / invention / inventor,47,H1,strong,0.5469026548672566,0.13676317892475764,0.13733675237761775,0.832219957168299,0.6631065572611448,0.6241499939243563,0.0,,0.29683955465100964,0.909090909090909,0.006553797724325829,0.7149049996845013,SI-3 AI and Automated Decision Making in IP administration,CT-AI Artificial intelligence,0.464920565669828,AS-PATANALYTICS Patent Analytics Hub and Office of the Chief Economist,0.8071352941176471,False,0.8039823008849558,2020,2026,act
12,verify-bertopic-T0005,artificial intelligence / patent / inventorship / ai,231,H2,strong,0.5106194690265486,0.13076848157661225,0.20900027723337528,0.7628197827652252,0.6158877296474169,0.7702787930114312,4.347379583965463,2025;2026,0.17141017013059012,0.5555555555555554,0.018480458748404857,0.822870725171045,SI-3 AI and Automated Decision Making in IP administration,CT-AI Artificial intelligence,0.4727159488350917,AS-PATANALYTICS Patent Analytics Hub and Office of the Chief Economist,0.8058588235294116,False,0.7946902654867257,2018,2026,act
13,verify-bertopic-T0087,valuation / intellectual / property / asset,15,H1,weak,0.5995575221238939,0.14879547447970465,0.0769886742769586,0.8812201333416796,0.7313910545752973,0.0,0.0,,0.1472026904398771,1.0,0.0028925560822571274,0.6653846053596781,4.1 Innovation and adaptiveness in stewardship of the IP rights system,CT-BIO Biotechnologies,0.4004348032112068,AS-PATANALYTICS Patent Analytics Hub and Office of the Chief Economist,0.5882352941176471,False,0.7787610619469026,2019,2026,act
14,verify-bertopic-T0042,enforcement intellectual / property right / intellectual property / hungary,45,H1,strong,0.7199115044247788,0.19868637931503752,0.15335900571532202,0.8233271617650166,0.6428213194729403,0.8944518845341284,16.836830107542653,2019,-0.3463280590416672,1.0,0.006046292519366902,0.6338233178586832,4.1 Innovation and adaptiveness in stewardship of the IP rights system,CT-ICT Advanced information and communication technologies,0.36939158517175646,AS-EXAMINATION Examination workforce and AI/ADM trials,0.578870588235294,False,0.7783185840707965,2018,2026,act
